Country Name,Country Code,"GDP, PPP (current international $)"
Aruba,ABW,4026064568
Afghanistan,AFG,67121529135
Angola,AGO,1.94887E+11
Albania,ALB,34134175007
Andorra,AND,
Arab World,ARB,6.83246E+12
United Arab Emirates,ARE,6.77605E+11
Argentina,ARG,8.77492E+11
Armenia,ARM,25863255541
American Samoa,ASM,
Antigua and Barbuda,ATG,2285469998
Australia,AUS,1.14549E+12
Austria,AUT,4.51297E+11
Azerbaijan,AZE,1.69953E+11
Burundi,BDI,7802059444
Belgium,BEL,5.35004E+11
Benin,BEN,23589730506
Burkina Faso,BFA,33065973361
Bangladesh,BGD,5.83983E+11
Bulgaria,BGR,1.38995E+11
Bahrain,BHR,67319507670
"Bahamas, The",BHS,11663909983
Bosnia and Herzegovina,BIH,43425776220
Belarus,BLR,1.71963E+11
Belize,BLZ,3090206268
Bermuda,BMU,
Bolivia,BOL,78853625517
Brazil,BRA,3.1608E+12
Barbados,BRB,5152318373
Brunei Darussalam,BRN,32800933005
Bhutan,BTN,7113912041
Botswana,BWA,37398956044
Central African Republic,CAF,3580984631
Canada,CAN,1.62535E+12
Central Europe and the Baltics,CEB,2.81503E+12
Switzerland,CHE,5.37701E+11
Channel Islands,CHI,
Chile,CHL,4.16517E+11
China,CHN,2.13876E+13
Cote d'Ivoire,CIV,87323360876
Cameroon,CMR,84856536734
"Congo, Dem. Rep.",COD,68437288037
"Congo, Rep.",COG,29059126467
Colombia,COL,6.86905E+11
Comoros,COM,2139394723
Cabo Verde,CPV,3563516895
Costa Rica,CRI,79754486839
Caribbean small states,CSS,1.12949E+11
Cuba,CUB,
Curacao,CUW,4419442806
Cayman Islands,CYM,4382957430
Cyprus,CYP,28682685569
Czech Republic,CZE,3.72257E+11
Germany,DEU,4.11096E+12
Djibouti,DJI,
Dominica,DMA,804883336.9
Denmark,DNK,2.90377E+11
Dominican Republic,DOM,1.62342E+11
Algeria,DZA,6.10316E+11
East Asia & Pacific (excluding high income),EAP,2.84167E+13
Early-demographic dividend,EAR,2.94299E+13
East Asia & Pacific,EAS,3.90774E+13
Europe & Central Asia (excluding high income),ECA,8.0533E+12
Europe & Central Asia,ECS,2.89E+13
Ecuador,ECU,1.85065E+11
"Egypt, Arab Rep.",EGY,1.06671E+12
Euro area,EMU,1.45706E+13
Eritrea,ERI,
Spain,ESP,1.70668E+12
Estonia,EST,40654683249
Ethiopia,ETH,1.80909E+11
European Union,EUU,2.05676E+13
Fragile and conflict affected situations,FCS,2.1785E+12
Finland,FIN,2.40309E+11
Fiji,FJI,8447984356
France,FRA,2.81127E+12
Faroe Islands,FRO,
